Name,Date,Open,High,Low,Close,Adj Close,Volume
GME,2020-10-05,9.44,9.59,9.25,9.46,9.46,2805000
GME,2020-10-06,9.56,9.84,9.1,9.13,9.13,4535400
GME,2020-10-07,9.23,9.56,9.17,9.36,9.36,3308600
GME,2020-10-08,9.54,13.64,9.19,13.49,13.49,76453600
GME,2020-10-09,12.83,14.8,11.9,12.02,12.02,77152800
GME,2020-10-12,11.66,12.77,11.4,11.8,11.8,23655700
GME,2020-10-13,11.73,12.42,11.65,11.88,11.88,10179700
GME,2020-10-14,12.67,12.68,12.05,12.25,12.25,10761400
GME,2020-10-15,11.99,15.1,11.99,13.83,13.83,39894800
GME,2020-10-16,13.77,13.9,13.08,13.31,13.31,11651600
GME,2020-10-19,13.44,14.5,13.38,13.91,13.91,13169100
GME,2020-10-20,14.03,14.14,13.67,13.86,13.86,6604000
GME,2020-10-21,13.9,14.42,13.8,14.1,14.1,5361900
GME,2020-10-22,14.2,15.87,14.19,14.91,14.91,16212200
GME,2020-10-23,15.05,15.38,14.55,15,15,6507300
GME,2020-10-26,14.93,15.45,13.26,13.45,13.45,13376300
GME,2020-10-27,13.71,13.71,12.36,12.69,12.69,7231000
GME,2020-10-28,12.27,13.05,11.78,11.82,11.82,6388600
GME,2020-10-29,11.88,12.25,11.68,11.73,11.73,4165800
GME,2020-10-30,11.64,11.64,10.36,10.47,10.47,11546900
GME,2020-11-02,10.82,11.09,10.5,10.75,10.75,5227000
GME,2020-11-03,10.75,11.86,10.63,11.57,11.57,7454500
GME,2020-11-04,11.76,11.77,10.61,10.91,10.91,5807900
GME,2020-11-05,11.27,11.84,11.06,11.45,11.45,4705200
GME,2020-11-06,11.52,12.17,11.32,11.86,11.86,5518200
GME,2020-11-09,12.76,12.93,11.25,11.49,11.49,6244900
GME,2020-11-10,11.5,11.66,10.83,11.1,11.1,3826000
GME,2020-11-11,11.5,11.95,11.21,11.75,11.75,4882600
GME,2020-11-12,11.74,11.87,10.97,11.13,11.13,4353300
GME,2020-11-13,11.36,11.55,11,11.01,11.01,3535900
GME,2020-11-16,11.16,12.66,10.72,12.06,12.06,9774800
GME,2020-11-17,11.65,11.92,11.23,11.63,11.63,6678200
GME,2020-11-18,11.8,12.04,11.56,11.57,11.57,3169200
GME,2020-11-19,11.6,12.79,11.45,12.46,12.46,11787600
GME,2020-11-20,12.55,13.46,12.54,12.71,12.71,8395400
GME,2020-11-23,12.9,14.12,12.67,13.9,13.9,9599100
GME,2020-11-24,14.23,14.26,13.3,13.67,13.67,7183200
GME,2020-11-25,13.6,15.25,13.42,14.75,14.75,8860100
GME,2020-11-27,15.29,16.74,14.88,16.08,16.08,12504200
GME,2020-11-30,18.17,19.42,16.559999,16.559999,16.559999,31983500
GME,2020-12-01,17.110001,17.4,15.76,15.8,15.8,12653900
GME,2020-12-02,15.7,16.68,15.38,16.58,16.58,7883400
GME,2020-12-03,16.48,16.639999,15.87,16.120001,16.120001,6295000
GME,2020-12-04,16.299999,17.290001,16.26,16.9,16.9,8972700
GME,2020-12-07,17,17.5,16.219999,16.35,16.35,7386300
GME,2020-12-08,16.370001,17.209999,15.93,16.940001,16.940001,16120200
GME,2020-12-09,13.92,14.73,13.23,13.66,13.66,24357900
GME,2020-12-10,13.12,14.41,13.05,14.12,14.12,7558900
GME,2020-12-11,13.91,14,13.02,13.31,13.31,7496900
GME,2020-12-14,13.34,13.43,12.14,12.72,12.72,10007100
GME,2020-12-15,12.78,14.02,12.48,13.85,13.85,8189800
GME,2020-12-16,13.96,14.31,13.58,13.85,13.85,5865100
GME,2020-12-17,13.96,14.98,13.59,14.83,14.83,8194900
GME,2020-12-18,15.78,16.299999,15.18,15.63,15.63,16618800
GME,2020-12-21,15.81,16.35,15.28,15.53,15.53,9876100
GME,2020-12-22,16.219999,20.040001,16.15,19.459999,19.459999,30652700
GME,2020-12-23,20.17,22.35,19.129999,20.57,20.57,25830300
GME,2020-12-24,21.01,21.48,19.950001,20.15,20.15,6262200
GME,2020-12-28,21.309999,21.969999,20.35,20.99,20.99,8965900
GME,2020-12-29,20.82,21.07,18.559999,19.379999,19.379999,9241400
GME,2020-12-30,19.379999,20,18.85,19.26,19.26,5934400
GME,2020-12-31,19.25,19.799999,18.799999,18.84,18.84,6922700
GME,2021-01-04,19,19.1,17.15,17.25,17.25,10022500
GME,2021-01-05,17.35,18.08,17.23,17.370001,17.370001,4961500
GME,2021-01-06,17.34,18.98,17.33,18.360001,18.360001,6056200
GME,2021-01-07,18.469999,19.450001,18.02,18.08,18.08,6129300
GME,2021-01-08,18.18,18.299999,17.08,17.690001,17.690001,6482000
GME,2021-01-11,19.41,20.65,19.01,19.940001,19.940001,14908000
GME,2021-01-12,19.959999,20.4,19.32,19.950001,19.950001,7060700
GME,2021-01-13,20.42,38.650002,20.030001,31.4,31.4,144501700
GME,2021-01-14,38.09,43.060001,33.049999,39.91,39.91,93717400
GME,2021-01-15,38.490002,40.75,34.009998,35.5,35.5,46866400
GME,2021-01-19,41.549999,45.52,36.639999,39.360001,39.360001,74721900
GME,2021-01-20,37.369999,41.189999,36.060001,39.119999,39.119999,33471800
GME,2021-01-21,39.23,44.75,37,43.029999,43.029999,56216900
GME,2021-01-22,42.59,76.760002,42.32,65.010002,65.010002,197157900
GME,2021-01-25,96.730003,159.179993,61.130001,76.790001,76.790001,177874000
GME,2021-01-26,88.559998,150,80.199997,147.979996,147.979996,178588000
GME,2021-01-27,354.829987,380,249,347.51001,347.51001,93396700
GME,2021-01-28,265,483,112.25,193.600006,193.600006,58815800
GME,2021-01-29,379.709991,413.980011,250,325,325,50566100
GME,2021-02-01,316.559998,322,212,225,225,37382200
GME,2021-02-02,140.759995,158,74.220001,90,90,78183100
GME,2021-02-03,112.010002,113.400002,85.25,92.410004,92.410004,42698500
GME,2021-02-04,91.190002,91.5,53.330002,53.5,53.5,62427300
GME,2021-02-05,54.040001,95,51.09,63.77,63.77,81345000
GME,2021-02-08,72.410004,72.660004,58.02,60,60,25687300
GME,2021-02-09,56.610001,57,46.52,50.310001,50.310001,26843100
GME,2021-02-10,50.77,62.830002,46.549999,51.200001,51.200001,36455000
GME,2021-02-11,50.009998,55.32,48.220001,51.099998,51.099998,13056700
GME,2021-02-12,50.75,55.240002,48.049999,52.400002,52.400002,14573300
GME,2021-02-16,52.66,53.5,49.040001,49.509998,49.509998,8175000
GME,2021-02-17,49.77,51.189999,44.560001,45.939999,45.939999,9186800
GME,2021-02-18,48.490002,48.869999,40.650002,40.689999,40.689999,23990600
GME,2021-02-19,41.279999,43.889999,38.5,40.59,40.59,14828200
GME,2021-02-22,46.689999,48.509998,42.400002,46,46,19476000
GME,2021-02-23,44.970001,46.23,40,44.970001,44.970001,7565200
GME,2021-02-24,44.700001,91.709999,44.700001,91.709999,91.709999,83111700
GME,2021-02-25,169.559998,184.679993,101,108.730003,108.730003,150308800
GME,2021-02-26,117.459999,142.899994,86,101.739998,101.739998,92194200
GME,2021-03-01,104.540001,133.990005,99.970001,120.400002,120.400002,49794000
GME,2021-03-02,116.93,133.199997,112.199997,118.18,118.18,33783000
GME,2021-03-03,122.510002,127.75,113.120003,124.18,124.18,19273900
GME,2021-03-04,125,147.869995,115.300003,132.350006,132.350006,32606900
GME,2021-03-05,128.169998,151.529999,127.5,137.740005,137.740005,30733700
GME,2021-03-08,154.889999,210.869995,146.100006,194.5,194.5,63565600
GME,2021-03-09,217.710007,249.850006,208.509995,246.899994,246.899994,39099300
GME,2021-03-10,269.429993,348.5,172,265,265,71570600
GME,2021-03-11,241.639999,281.5,232.600006,260,260,28312500
GME,2021-03-12,275,295.5,262.269989,264.5,264.5,25845900
GME,2021-03-15,277.519989,283,206,220.139999,220.139999,24100400
GME,2021-03-16,203.160004,220.699997,172.350006,208.169998,208.169998,35422900
GME,2021-03-17,217.839996,231.470001,204,209.809998,209.809998,16481600
GME,2021-03-18,214,218.880005,195.649994,201.75,201.75,11764900
GME,2021-03-19,195.729996,227,182.660004,200.270004,200.270004,24677300
GME,2021-03-22,205.259995,210.360001,186.199997,194.490005,194.490005,10061500
GME,2021-03-23,197.5,201.75,177.550003,181.75,181.75,14429100
GME,2021-03-24,157.979996,166.970001,118.620003,120.339996,120.339996,24177900
GME,2021-03-25,123.489998,187.5,116.900002,183.75,183.75,50962300
GME,2021-03-26,197.679993,218.929993,163.259995,181,181,37430700
GME,2021-03-29,180.75,193.919998,173.509995,181.300003,181.300003,10042200
GME,2021-03-30,187.5,204.300003,182,194.460007,194.460007,17094900
GME,2021-03-31,197.5,199.460007,187.110001,189.820007,189.820007,8393800
GME,2021-04-01,193.360001,196.970001,183.600006,191.449997,191.449997,9334300
GME,2021-04-05,171,195,164.809998,186.949997,186.949997,14070500
GME,2021-04-06,185.210007,192,183.559998,184.5,184.5,6218300
GME,2021-04-07,183.220001,184.5,176.110001,177.970001,177.970001,4768300
GME,2021-04-08,185.880005,185.880005,164.300003,170.259995,170.259995,10047400
GME,2021-04-09,169.699997,171.580002,153,158.360001,158.360001,9462400
GME,2021-04-12,158.110001,163.899994,135.009995,141.089996,141.089996,16683600
GME,2021-04-13,141.880005,145.380005,132,140.990005,140.990005,6806900
GME,2021-04-14,143.570007,174.089996,143,166.529999,166.529999,21138100
GME,2021-04-15,163,166.25,152.800003,156.440002,156.440002,7856800
GME,2021-04-16,156,160.199997,151.25,154.690002,154.690002,5214700
GME,2021-04-19,171.800003,175.199997,162.330002,164.369995,164.369995,10520200
GME,2021-04-20,164.139999,164.889999,153.360001,158.529999,158.529999,4658600
GME,2021-04-21,158.399994,162.979996,155.919998,158.509995,158.509995,3812800
GME,2021-04-22,159.100006,159.100006,146.860001,151.169998,151.169998,4345800
GME,2021-04-23,149,153.660004,144.699997,151.179993,151.179993,4029100
GME,2021-04-26,150.979996,174.679993,148.759995,168.929993,168.929993,10532100
GME,2021-04-27,183.550003,188,173.169998,177.770004,177.770004,8932700
GME,2021-04-28,172.100006,181.979996,166.029999,178.580002,178.580002,5788900
GME,2021-04-29,176.559998,180.860001,170.75,176.190002,176.190002,3760300
GME,2021-04-30,175,183.800003,172.699997,173.589996,173.589996,4433600
GME,2021-05-03,177.490005,177.490005,159.610001,162.199997,162.199997,5261000
GME,2021-05-04,159,161.490005,151.800003,160.729996,160.729996,4007500
GME,2021-05-05,161.830002,165.5,158.330002,159.479996,159.479996,2805400
GME,2021-05-06,160.860001,164.720001,155.600006,161.009995,161.009995,2942800
GME,2021-05-07,160.110001,167.410004,157.5,161.110001,161.110001,2934600
GME,2021-05-10,161.309998,161.589996,143,143.220001,143.220001,4806700
GME,2021-05-11,137,150.5,136.5,146.919998,146.919998,4684600
GME,2021-05-12,145.699997,150.5,142.229996,144.789993,144.789993,2731500
GME,2021-05-13,147.440002,169.949997,146.429993,164.5,164.5,8873500
GME,2021-05-14,160,166.470001,156.220001,159.919998,159.919998,4293500
GME,2021-05-17,159.850006,182.5,159,180.600006,180.600006,7462100
GME,2021-05-18,174.539993,189.199997,168.270004,180.669998,180.669998,7738700
GME,2021-05-19,171.990005,178.979996,164.149994,168.830002,168.830002,4825900
GME,2021-05-20,170.789993,174.910004,166.899994,170.490005,170.490005,2478200
GME,2021-05-21,171,179.240005,170.330002,176.789993,176.789993,3654700
GME,2021-05-24,175.850006,188.460007,173.350006,180.009995,180.009995,4664300
GME,2021-05-25,181,217.110001,181,209.429993,209.429993,14887500
GME,2021-05-26,229,248.479996,225.550003,242.559998,242.559998,21119900
GME,2021-05-27,229.800003,264,227,254.130005,254.130005,15526300
GME,2021-05-28,262.970001,268.799988,221.429993,222,222,11751400
GME,2021-06-01,233.479996,254.979996,227.070007,249.020004,249.020004,9625600
GME,2021-06-02,248.880005,294,244.300003,282.23999,282.23999,16019200
GME,2021-06-03,265.709991,274.429993,242.119995,258.179993,258.179993,8000000
GME,2021-06-04,256.019989,265,245.770004,248.360001,248.360001,3637500
GME,2021-06-07,258,282,255.199997,280.01001,280.01001,6051500
GME,2021-06-08,292,344.660004,281,300,300,17439100
GME,2021-06-09,303.119995,328,291.51001,302.559998,302.559998,13429300
GME,2021-06-10,282,288,211,220.389999,220.389999,22980200
GME,2021-06-11,222.350006,241.130005,206.130005,233.339996,233.339996,15580800
GME,2021-06-14,236.5,238.009995,219.199997,229.440002,229.440002,7132600
GME,2021-06-15,226.360001,229.25,208,222.5,222.5,7301900
GME,2021-06-16,215.240005,228.729996,209,222.970001,222.970001,5564800
GME,2021-06-17,224,233.660004,221.479996,223.589996,223.589996,4608600
GME,2021-06-18,220.179993,223.490005,213,213.820007,213.820007,4320300
GME,2021-06-21,216.949997,218.399994,197,200.369995,200.369995,5120200
GME,2021-06-22,217.729996,225.880005,209.169998,220.399994,220.399994,8200200
GME,2021-06-23,221.449997,222.570007,214.119995,219.339996,219.339996,3555100
GME,2021-06-24,221.160004,227.449997,211.600006,212.309998,212.309998,3863300
GME,2021-06-25,214,214.199997,198.5,209.509995,209.509995,12692700
GME,2021-06-28,211.25,224.449997,210.199997,213.25,213.25,4879400
GME,2021-06-29,213.589996,215.220001,208.009995,210.880005,210.880005,2480000
GME,2021-06-30,209.690002,215.279999,206.940002,214.139999,214.139999,2539600
GME,2021-07-01,213.399994,216.830002,202,204.360001,204.360001,2742100
GME,2021-07-02,204.800003,205.449997,196.5,202.830002,202.830002,2599100
GME,2021-07-06,204,204.770004,193.710007,199.559998,199.559998,2768100
GME,2021-07-07,196,197.5,177.559998,190.660004,190.660004,4239500
GME,2021-07-08,179.830002,194.220001,179.5,191.380005,191.380005,2857500
GME,2021-07-09,190.880005,194.779999,186.75,191.229996,191.229996,1582900
GME,2021-07-12,191.419998,197.75,187.419998,189.25,189.25,1636300
GME,2021-07-13,187.679993,188.789993,179,180.059998,180.059998,2397900
GME,2021-07-14,180.490005,182.380005,165.070007,167.619995,167.619995,3913800
GME,2021-07-15,160,171.990005,158.009995,166.820007,166.820007,4298600
GME,2021-07-16,170.149994,179.470001,166.300003,169.039993,169.039993,3287900
GME,2021-07-19,163.300003,176,161.220001,173.490005,173.490005,2436900
GME,2021-07-20,173.899994,193.639999,172.419998,191.179993,191.179993,3101100
GME,2021-07-21,187.789993,195.509995,182.110001,185.809998,185.809998,2229200
GME,2021-07-22,185.300003,187.690002,176.149994,178.850006,178.850006,1413000
GME,2021-07-23,181,181.600006,173.839996,180.360001,180.360001,1316200
GME,2021-07-26,180.360001,186.039993,178.759995,183.940002,183.940002,1260600
GME,2021-07-27,183,185,176.660004,178.539993,178.539993,1214800
GME,2021-07-28,175.720001,177.119995,164.270004,169.119995,169.119995,4100800
GME,2021-07-29,170.600006,173.889999,164.509995,164.860001,164.860001,2240000
GME,2021-07-30,165,167.220001,158.869995,161.119995,161.119995,2373500
GME,2021-08-02,162,163.589996,155.059998,157.649994,157.649994,2532900
GME,2021-08-03,156.740005,158.889999,148.199997,152.75,152.75,14450600
GME,2021-08-04,152.729996,157.789993,145.690002,146.800003,146.800003,2393500
GME,2021-08-05,148,157.600006,145.220001,153.440002,153.440002,2412100
GME,2021-08-06,154.589996,156.5,150.309998,151.770004,151.770004,1348100
GME,2021-08-09,151.800003,164.710007,150.660004,161.130005,161.130005,2249200
GME,2021-08-10,161.360001,166.899994,155.350006,159.050003,159.050003,1623300
GME,2021-08-11,158.429993,159.050003,154.619995,158.779999,158.779999,945400
GME,2021-08-12,159.880005,164.279999,157.330002,162.350006,162.350006,1317800
GME,2021-08-13,160.470001,163.550003,157.410004,162.520004,162.520004,1012700
GME,2021-08-16,161,169.880005,159.160004,163.929993,163.929993,1572600
GME,2021-08-17,161.190002,169.479996,161.100006,163.550003,163.550003,1215900
GME,2021-08-18,163.25,165.600006,156.75,157.050003,157.050003,1411800
GME,2021-08-19,156.770004,157.990005,150.779999,152.899994,152.899994,1196500
GME,2021-08-20,153.800003,160.089996,153.240005,159.300003,159.300003,1151700
GME,2021-08-23,162.380005,167.289993,159.550003,164.889999,164.889999,1343000
GME,2021-08-24,166.289993,225,165.149994,210.289993,210.289993,14652200
GME,2021-08-25,206.649994,227,193,199.649994,199.649994,12861100
GME,2021-08-26,200.679993,217,199,205.220001,205.220001,6238600
GME,2021-08-27,207.699997,213,200.020004,204.949997,204.949997,3224900
GME,2021-08-30,205,218.190002,203.020004,209.199997,209.199997,3309600
GME,2021-08-31,212.699997,222.300003,211.460007,218.240005,218.240005,3574700
GME,2021-09-01,224,231.440002,208.020004,212.970001,212.970001,4453800
GME,2021-09-02,213.860001,214.800003,206.300003,213.520004,213.520004,1852000
GME,2021-09-03,212.050003,216.270004,198.839996,202.75,202.75,2658600
GME,2021-09-07,206.25,209.899994,196.100006,199,199,2496300
GME,2021-09-08,201.860001,206.880005,190.679993,198.800003,198.800003,5173600
GME,2021-09-09,180.089996,202,178,199.179993,199.179993,7511500
GME,2021-09-10,198.410004,202.160004,190,190.410004,190.410004,3037000
GME,2021-09-13,193.75,208.880005,191.5,203.399994,203.399994,4334100
GME,2021-09-14,200.649994,204.619995,195,199.240005,199.240005,2141600
GME,2021-09-15,197,204.869995,193.75,204.520004,204.520004,2310400
GME,2021-09-16,202.330002,216.550003,201.149994,206.369995,206.369995,3058200
GME,2021-09-17,208.020004,212.490005,200.779999,204.970001,204.970001,3945900
GME,2021-09-20,200,202.850006,184.550003,192.199997,192.199997,3941800
GME,2021-09-21,199.360001,199.360001,186,189.949997,189.949997,2633800
GME,2021-09-22,189.639999,193.5,186.289993,190.139999,190.139999,2256600
GME,2021-09-23,192.330002,195.75,190.600006,191.240005,191.240005,1682300
GME,2021-09-24,191,191.720001,184.110001,185.160004,185.160004,1685800
GME,2021-09-27,185.919998,192.050003,185.869995,189.479996,189.479996,1470100
GME,2021-09-28,188,190.809998,178,178.600006,178.600006,1770500
GME,2021-09-29,180.089996,184.479996,174.610001,175.919998,175.919998,1899900
GME,2021-09-30,175,185.449997,166.789993,175.470001,175.470001,3170700
GME,2021-10-01,179.399994,179.490005,172.25,176.910004,176.910004,1549700
